,Date,Exercise Name,Set Order,Weight,Reps,Duration (minutes)
1,2026-08-10,Running (Treadmill),1,,,25
2,2026-08-10,Lat Pulldown (Cable),1,40.0,12,
3,2026-08-10,Lat Pulldown (Cable),2,45.0,10,
4,2026-08-10,Lat Pulldown (Cable),3,50.0,8,
5,2026-08-10,Seated Row (Cable),1,40.0,12,
6,2026-08-10,Seated Row (Cable),2,45.0,10,
7,2026-08-10,Seated Row (Cable),3,50.0,8,
8,2026-08-10,Bent Over One Arm Row (Dumbbell),1,18.0,12,
9,2026-08-10,Bent Over One Arm Row (Dumbbell),2,20.5,10,
10,2026-08-10,Bent Over One Arm Row (Dumbbell),3,23.0,8,
11,2026-08-10,Bent Over Row (Barbell),1,40.0,12,
12,2026-08-10,Bent Over Row (Barbell),2,45.0,10,
13,2026-08-10,Bent Over Row (Barbell),3,50.0,8,
14,2026-08-10,Face Pull (Cable),1,20.0,12,
15,2026-08-10,Face Pull (Cable),2,22.5,10,
16,2026-08-10,Face Pull (Cable),3,25.0,8,
17,2026-08-10,Bicep Curl (Cable),1,15.0,12,
18,2026-08-10,Bicep Curl (Cable),2,17.5,10,
19,2026-08-10,Bicep Curl (Cable),3,20.0,8,
20,2026-08-10,Crunch,1,,15,
21,2026-08-10,Crunch,2,,12,
22,2026-08-10,Crunch,3,,10,
23,2026-08-10,Hack Squat,1,70.0,12,
24,2026-08-10,Hack Squat,2,75.0,10,
25,2026-08-10,Hack Squat,3,80.0,8,
26,2026-08-11,Squat (Barbell),1,55.0,12,
27,2026-08-11,Squat (Barbell),2,60.0,10,
28,2026-08-11,Squat (Barbell),3,65.0,8,
29,2026-08-11,Leg Press,1,100.0,12,
30,2026-08-11,Leg Press,2,105.0,10,
31,2026-08-11,Leg Press,3,110.0,8,
32,2026-08-11,Leg Extension (Machine),1,35.0,12,
33,2026-08-11,Leg Extension (Machine),2,40.0,10,
34,2026-08-11,Leg Extension (Machine),3,45.0,8,
35,2026-08-11,Lying Leg Curl (Machine),1,30.0,12,
36,2026-08-11,Lying Leg Curl (Machine),2,35.0,10,
37,2026-08-11,Lying Leg Curl (Machine),3,40.0,8,
38,2026-08-11,Hip Abductor (Machine),1,40.0,12,
39,2026-08-11,Hip Abductor (Machine),2,45.0,10,
40,2026-08-11,Hip Abductor (Machine),3,50.0,8,
41,2026-08-11,hip extension,1,,15,
42,2026-08-11,hip extension,2,,12,
43,2026-08-11,hip extension,3,,10,
44,2026-08-11,Standing Calf Raise (Bodyweight),1,,15,
45,2026-08-11,Standing Calf Raise (Bodyweight),2,,12,
46,2026-08-11,Standing Calf Raise (Bodyweight),3,,10,
47,2026-08-11,Hip Adductor (Machine),1,40.0,12,
48,2026-08-11,Hip Adductor (Machine),2,45.0,10,
49,2026-08-11,Hip Adductor (Machine),3,50.0,8,
50,2026-08-13,Bench Press (Barbell),1,45.0,12,
51,2026-08-13,Bench Press (Barbell),2,50.0,10,
52,2026-08-13,Bench Press (Barbell),3,55.0,8,
53,2026-08-13,Bench Press (Dumbbell),1,16.0,12,
54,2026-08-13,Bench Press (Dumbbell),2,18.5,10,
55,2026-08-13,Bench Press (Dumbbell),3,21.0,8,
56,2026-08-13,Incline Bench Press (Barbell),1,35.0,12,
57,2026-08-13,Incline Bench Press (Barbell),2,40.0,10,
58,2026-08-13,Incline Bench Press (Barbell),3,45.0,8,
59,2026-08-13,Chest Fly,1,30.0,12,
60,2026-08-13,Chest Fly,2,35.0,10,
61,2026-08-13,Chest Fly,3,40.0,8,
62,2026-08-13,Seated Overhead Press (Dumbbell),1,12.0,12,
63,2026-08-13,Seated Overhead Press (Dumbbell),2,14.5,10,
64,2026-08-13,Seated Overhead Press (Dumbbell),3,17.0,8,
65,2026-08-13,Overhead Press (Barbell),1,27.5,12,
66,2026-08-13,Overhead Press (Barbell),2,30.0,10,
67,2026-08-13,Overhead Press (Barbell),3,32.5,8,
68,2026-08-13,Lateral Raise (Dumbbell),1,7.0,12,
69,2026-08-13,Lateral Raise (Dumbbell),2,9.5,10,
70,2026-08-13,Lateral Raise (Dumbbell),3,12.0,8,
71,2026-08-13,Triceps Pushdown (Cable - Straight Bar),1,22.5,12,
72,2026-08-13,Triceps Pushdown (Cable - Straight Bar),2,25.0,10,
73,2026-08-13,Triceps Pushdown (Cable - Straight Bar),3,27.5,8,
74,2026-08-13,Triceps Extension (Dumbbell),1,10.0,12,
75,2026-08-13,Triceps Extension (Dumbbell),2,12.5,10,
76,2026-08-13,Triceps Extension (Dumbbell),3,15.0,8,
77,2026-08-13,Chest Fly (Dumbbell),1,10.0,12,
78,2026-08-13,Chest Fly (Dumbbell),2,12.5,10,
79,2026-08-13,Chest Fly (Dumbbell),3,15.0,8,
80,2026-08-15,Deadlift (Barbell),1,70.0,12,
81,2026-08-15,Deadlift (Barbell),2,75.0,10,
82,2026-08-15,Deadlift (Barbell),3,80.0,8,
83,2026-08-15,Romanian Deadlift (Barbell),1,55.0,12,
84,2026-08-15,Romanian Deadlift (Barbell),2,60.0,10,
85,2026-08-15,Romanian Deadlift (Barbell),3,65.0,8,
86,2026-08-15,Hip Thrust (Barbell),1,60.0,12,
87,2026-08-15,Hip Thrust (Barbell),2,65.0,10,
88,2026-08-15,Hip Thrust (Barbell),3,70.0,8,
89,2026-08-15,Bulgarian Split Squat,1,12.0,12,
90,2026-08-15,Bulgarian Split Squat,2,14.5,10,
91,2026-08-15,Bulgarian Split Squat,3,17.0,8,
92,2026-08-15,Cable Kickback,1,10.0,12,
93,2026-08-15,Cable Kickback,2,12.5,10,
94,2026-08-15,Cable Kickback,3,15.0,8,
95,2026-08-15,Back Extension,1,,15,
96,2026-08-15,Back Extension,2,,12,
97,2026-08-15,Back Extension,3,,10,
98,2026-08-15,Plank,1,,,1.0
99,2026-08-15,Plank,2,,,1.25
100,2026-08-15,Plank,3,,,1.5
101,2026-08-15,Preacher Curl (Machine),1,20.0,12,
102,2026-08-15,Preacher Curl (Machine),2,22.5,10,
103,2026-08-15,Preacher Curl (Machine),3,25.0,8,
104,2026-08-17,Running (Treadmill),1,,,28
105,2026-08-17,Lat Pulldown (Cable),1,40.0,12,
106,2026-08-17,Lat Pulldown (Cable),2,45.0,10,
107,2026-08-17,Lat Pulldown (Cable),3,50.0,8,
108,2026-08-17,Seated Row (Cable),1,40.0,12,
109,2026-08-17,Seated Row (Cable),2,45.0,10,
110,2026-08-17,Seated Row (Cable),3,50.0,8,
111,2026-08-17,Bent Over One Arm Row (Dumbbell),1,18.0,12,
112,2026-08-17,Bent Over One Arm Row (Dumbbell),2,20.5,10,
113,2026-08-17,Bent Over One Arm Row (Dumbbell),3,23.0,8,
114,2026-08-17,Bent Over Row (Barbell),1,40.0,12,
115,2026-08-17,Bent Over Row (Barbell),2,45.0,10,
116,2026-08-17,Bent Over Row (Barbell),3,50.0,8,
117,2026-08-17,Face Pull (Cable),1,20.0,12,
118,2026-08-17,Face Pull (Cable),2,22.5,10,
119,2026-08-17,Face Pull (Cable),3,25.0,8,
120,2026-08-17,Bicep Curl (Cable),1,15.0,12,
121,2026-08-17,Bicep Curl (Cable),2,17.5,10,
122,2026-08-17,Bicep Curl (Cable),3,20.0,8,
123,2026-08-17,Crunch,1,,15,
124,2026-08-17,Crunch,2,,12,
125,2026-08-17,Crunch,3,,10,
126,2026-08-17,Pull Up (Assisted),1,35.0,10,
127,2026-08-17,Pull Up (Assisted),2,30.0,8,
128,2026-08-17,Pull Up (Assisted),3,25.0,6,
129,2026-08-18,Squat (Barbell),1,55.0,12,
130,2026-08-18,Squat (Barbell),2,60.0,10,
131,2026-08-18,Squat (Barbell),3,65.0,8,
132,2026-08-18,Leg Press,1,100.0,12,
133,2026-08-18,Leg Press,2,105.0,10,
134,2026-08-18,Leg Press,3,110.0,8,
135,2026-08-18,Leg Extension (Machine),1,35.0,12,
136,2026-08-18,Leg Extension (Machine),2,40.0,10,
137,2026-08-18,Leg Extension (Machine),3,45.0,8,
138,2026-08-18,Lying Leg Curl (Machine),1,30.0,12,
139,2026-08-18,Lying Leg Curl (Machine),2,35.0,10,
140,2026-08-18,Lying Leg Curl (Machine),3,40.0,8,
141,2026-08-18,Hip Abductor (Machine),1,40.0,12,
142,2026-08-18,Hip Abductor (Machine),2,45.0,10,
143,2026-08-18,Hip Abductor (Machine),3,50.0,8,
