Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2022-08-04 14:54:31,"Treino A",1h 8m,"Running (Treadmill)",1,0,0,3.7175754,1027,"","",0
2022-08-04 14:54:31,"Treino A",1h 8m,"Crunch",1,0,20,0,0,"",,0
2022-08-04 14:54:31,"Treino A",1h 8m,"Crunch",2,0,20,0,0,,,0
2022-08-04 14:54:31,"Treino A",1h 8m,"Crunch",3,0,20,0,0,,,0
2022-08-04 14:54:31,"Treino A",1h 8m,"Crunch",4,0,20,0,0,,,0
2022-08-04 14:54:31,"Treino A",1h 8m,"Crunch",5,0,20,0,0,,,0
2022-08-04 14:54:31,"Treino A",1h 8m,"Lat Pulldown (Cable)",1,25.0,12,0,0,"",,0
2022-08-04 14:54:31,"Treino A",1h 8m,"Lat Pulldown (Cable)",2,25.0,12,0,0,,,0
2022-08-04 14:54:31,"Treino A",1h 8m,"Lat Pulldown (Cable)",3,30.0,12,0,0,,,0
2022-08-04 14:54:31,"Treino A",1h 8m,"Seated Row (Cable)",1,20.0,12,0,0,"",,0
2022-08-04 14:54:31,"Treino A",1h 8m,"Seated Row (Cable)",2,20.0,12,0,0,,,0
2022-08-04 14:54:31,"Treino A",1h 8m,"Seated Row (Cable)",3,20.0,12,0,0,,,0
2022-08-04 14:54:31,"Treino A",1h 8m,"Running (Treadmill)",1,0,0,1.46,702,"",,0
2022-08-04 14:54:31,"Treino A",1h 8m,"Bicep Curl (Cable)",1,15.0,12,0,0,"",,0
2022-08-04 14:54:31,"Treino A",1h 8m,"Bicep Curl (Cable)",2,15.0,12,0,0,,,0
2022-08-04 14:54:31,"Treino A",1h 8m,"Bicep Curl (Cable)",3,10.0,12,0,0,,,0
2022-08-04 14:54:31,"Treino A",1h 8m,"Bicep Curl (Dumbbell)",1,7.0,12,0,0,"",,0
2022-08-04 14:54:31,"Treino A",1h 8m,"Bicep Curl (Dumbbell)",2,7.0,12,0,0,,,0
2022-08-04 14:54:31,"Treino A",1h 8m,"Bicep Curl (Dumbbell)",3,7.0,12,0,0,,,0
2022-08-04 14:54:31,"Treino A",1h 8m,"Triceps Extension",1,15.0,12,0,0,"",,0
2022-08-06 16:03:22,"Morning Workout",53m,"Running (Treadmill)",1,0,0,3.7175754,900,"","",0
2022-08-06 16:03:22,"Morning Workout",53m,"Stiff Leg Deadlift (Barbell)",1,10.0,12,0,0,"",,0
2022-08-06 16:03:22,"Morning Workout",53m,"Stiff Leg Deadlift (Barbell)",2,12.0,12,0,0,,,0
2022-08-06 16:03:22,"Morning Workout",53m,"Stiff Leg Deadlift (Barbell)",3,12.0,12,0,0,,,0
2022-08-06 16:03:22,"Morning Workout",53m,"Hip Thrust (Barbell)",1,14.0,12,0,0,"",,0
2022-08-06 16:03:22,"Morning Workout",53m,"Hip Thrust (Barbell)",2,15.0,12,0,0,,,0
2022-08-06 16:03:22,"Morning Workout",53m,"Hip Thrust (Barbell)",3,15.0,12,0,0,,,0
2022-08-08 15:48:46,"Treino A",1h 21m,"Running (Treadmill)",1,0,0,2.43,900,"","",0
2022-08-08 15:48:46,"Treino A",1h 21m,"Crunch",1,0,12,0,0,"",,
2022-08-08 15:48:46,"Treino A",1h 21m,"Crunch",2,0,12,0,0,,,
2022-08-08 15:48:46,"Treino A",1h 21m,"Crunch",3,0,12,0,0,,,
2022-08-08 15:48:46,"Treino A",1h 21m,"Seated Row (Cable)",1,25.0,12,0,0,"",,0
2022-08-08 15:48:46,"Treino A",1h 21m,"Seated Row (Cable)",2,30.0,12,0,0,,,0
2022-08-08 15:48:46,"Treino A",1h 21m,"Seated Row (Cable)",3,30.0,12,0,0,,,0
2022-08-08 15:48:46,"Treino A",1h 21m,"Lat Pulldown (Cable)",1,25.0,12,0,0,"",,0
2022-08-08 15:48:46,"Treino A",1h 21m,"Lat Pulldown (Cable)",2,20.0,12,0,0,,,0
2022-08-08 15:48:46,"Treino A",1h 21m,"Lat Pulldown (Cable)",3,20.0,12,0,0,,,0
2022-08-08 15:48:46,"Treino A",1h 21m,"Running (Treadmill)",1,0,0,2.0,600,"",,0
2022-08-08 15:48:46,"Treino A",1h 21m,"Bicep Curl (Cable)",1,20.0,12,0,0,"",,0
2022-08-08 15:48:46,"Treino A",1h 21m,"Bicep Curl (Cable)",2,20.0,10,0,0,,,0
2022-08-08 15:48:46,"Treino A",1h 21m,"Bicep Curl (Cable)",3,10.0,12,0,0,,,0
2022-08-08 15:48:46,"Treino A",1h 21m,"Bicep Curl (Dumbbell)",1,5.0,12,0,0,"",,0
2022-08-08 15:48:46,"Treino A",1h 21m,"Bicep Curl (Dumbbell)",2,5.0,12,0,0,,,0
2022-08-08 15:48:46,"Treino A",1h 21m,"Bicep Curl (Dumbbell)",3,5.0,12,0,0,,,0
2022-08-08 15:48:46,"Treino A",1h 21m,"Chest Fly",1,15.0,12,0,0,"",,0
2022-08-08 15:48:46,"Treino A",1h 21m,"Chest Fly",2,15.0,12,0,0,,,0
2022-08-08 15:48:46,"Treino A",1h 21m,"Chest Fly",3,20.0,12,0,0,,,0
2022-08-08 15:48:46,"Treino A",1h 21m,"Triceps Extension",1,15.0,15,0,0,"",,0
2022-08-08 15:48:46,"Treino A",1h 21m,"Triceps Extension",2,15.0,12,0,0,,,0
2022-08-08 15:48:46,"Treino A",1h 21m,"Triceps Extension",3,15.0,12,0,0,,,0
2022-08-08 15:48:46,"Treino A",1h 21m,"Triceps Extension (Dumbbell)",1,5.0,12,0,0,"",,0
2022-08-08 15:48:46,"Treino A",1h 21m,"Triceps Extension (Dumbbell)",2,5.0,12,0,0,,,0
2022-08-08 15:48:46,"Treino A",1h 21m,"Triceps Extension (Dumbbell)",3,5.0,12,0,0,,,0
2022-08-09 15:02:33,"Treino C",1h 25m,"Running (Treadmill)",1,0,0,2.0,900,"","",0
2022-08-09 15:02:33,"Treino C",1h 25m,"Leg Press",1,50.0,12,0,0,"",,0
2022-08-09 15:02:33,"Treino C",1h 25m,"Leg Press",2,60.0,12,0,0,,,0
2022-08-09 15:02:33,"Treino C",1h 25m,"Leg Press",3,60.0,12,0,0,,,0
2022-08-09 15:02:33,"Treino C",1h 25m,"Leg Extension (Machine)",1,7.0,12,0,0,"",,0
2022-08-09 15:02:33,"Treino C",1h 25m,"Leg Extension (Machine)",2,7.0,12,0,0,,,0
2022-08-09 15:02:33,"Treino C",1h 25m,"Leg Extension (Machine)",3,7.0,12,0,0,,,0
2022-08-09 15:02:33,"Treino C",1h 25m,"Hip Abductor (Machine)",1,30.0,12,0,0,"",,0
2022-08-09 15:02:33,"Treino C",1h 25m,"Hip Abductor (Machine)",2,30.0,12,0,0,,,0
2022-08-09 15:02:33,"Treino C",1h 25m,"Hip Abductor (Machine)",3,30.0,12,0,0,,,0
2022-08-09 15:02:33,"Treino C",1h 25m,"Squat (Barbell)",1,10.0,12,0,0,"",,0
2022-08-09 15:02:33,"Treino C",1h 25m,"Squat (Barbell)",2,10.0,12,0,0,,,0
2022-08-09 15:02:33,"Treino C",1h 25m,"Hack Squat",1,40.0,12,0,0,"",,0
2022-08-09 15:02:33,"Treino C",1h 25m,"Hack Squat",2,40.0,12,0,0,,,0
2022-08-09 15:02:33,"Treino C",1h 25m,"Hack Squat",3,40.0,12,0,0,,,0
2022-08-11 15:02:43,"Treino C",1h 27m,"Running (Treadmill)",1,0,0,3.7175754,900,"","",0
2022-08-11 15:02:43,"Treino C",1h 27m,"Stiff Leg Deadlift (Barbell)",1,12.0,12,0,0,"",,0
2022-08-11 15:02:43,"Treino C",1h 27m,"Stiff Leg Deadlift (Barbell)",2,12.0,12,0,0,,,0
2022-08-11 15:02:43,"Treino C",1h 27m,"Stiff Leg Deadlift (Barbell)",3,14.0,12,0,0,,,0
2022-08-11 15:02:43,"Treino C",1h 27m,"Hip Thrust (Barbell)",1,14.0,12,0,0,"",,0
2022-08-11 15:02:43,"Treino C",1h 27m,"Hip Thrust (Barbell)",2,15.0,12,0,0,,,0
2022-08-11 15:02:43,"Treino C",1h 27m,"Hip Thrust (Barbell)",3,15.0,12,0,0,,,0
2022-08-11 15:02:43,"Treino C",1h 27m,"Lying Leg Curl (Machine)",1,20.0,12,0,0,"",,0
2022-08-11 15:02:43,"Treino C",1h 27m,"Lying Leg Curl (Machine)",2,20.0,12,0,0,,,0
2022-08-11 15:02:43,"Treino C",1h 27m,"Lying Leg Curl (Machine)",3,20.0,12,0,0,,,0
2022-08-11 15:02:43,"Treino C",1h 27m,"Standing Calf Raise (Bodyweight)",1,0,25,0,0,"",,0
2022-08-11 15:02:43,"Treino C",1h 27m,"Standing Calf Raise (Bodyweight)",2,0,25,0,0,,,0
2022-08-11 15:02:43,"Treino C",1h 27m,"Standing Calf Raise (Bodyweight)",3,0,25,0,0,,,0
2022-08-11 15:02:43,"Treino C",1h 27m,"hip extension",1,7.0,12,0,0,"",,0
2022-08-11 15:02:43,"Treino C",1h 27m,"hip extension",2,7.0,12,0,0,,,0
2022-08-11 15:02:43,"Treino C",1h 27m,"hip extension",3,7.0,12,0,0,,,0
2022-08-11 15:02:43,"Treino C",1h 27m,"Running (Treadmill)",1,0,0,0,900,"",,0
